,Date,Low,High,Close,Open
3529,2019-10-04,25.07,25.85,25.83,25.33
3528,2019-10-03,24.51,25.51,25.27,25.47
3527,2019-10-02,25.02,26.51,25.37,26.5
3526,2019-10-01,26.59,27.66,26.8,27.08
3525,2019-09-30,26.82,27.41,26.97,27.35
3524,2019-09-27,26.91,27.81,27.01,27.01
3523,2019-09-26,26.91,27.6,27.19,27.57
3522,2019-09-25,27.02,27.83,27.44,27.13
3521,2019-09-24,26.77,27.7,27.0,27.62
3520,2019-09-23,27.36,27.88,27.5,27.71
3519,2019-09-20,27.96,28.44,27.99,28.2
3518,2019-09-19,28.16,28.74,28.3,28.63
3517,2019-09-18,28.07,28.66,28.6,28.55
3516,2019-09-17,27.92,29.25,28.64,28.02
3515,2019-09-16,27.7,28.79,27.77,28.56
3514,2019-09-13,29.87,30.34,29.95,30.2
3513,2019-09-12,29.64,30.22,29.94,29.67
3512,2019-09-11,28.73,29.93,29.76,29.16
3511,2019-09-10,28.21,29.18,29.12,28.28
3510,2019-09-09,27.71,28.75,28.44,27.79
3509,2019-09-06,27.73,28.23,27.79,28.16
3508,2019-09-05,27.44,28.11,27.69,27.45
3507,2019-09-04,26.52,27.22,27.0,26.66
3506,2019-09-03,25.95,26.66,26.51,26.16
3505,2019-08-30,26.16,26.83,26.31,26.4
3504,2019-08-29,25.7,26.61,26.32,25.79
3503,2019-08-28,24.23,25.51,25.33,24.41
3502,2019-08-27,24.32,25.34,24.45,25.27
3501,2019-08-26,25.03,25.91,25.19,25.9
3500,2019-08-23,25.35,26.51,25.42,26.27
3499,2019-08-22,26.34,26.98,26.53,26.46
3498,2019-08-21,26.01,26.6,26.42,26.06
3497,2019-08-20,25.56,26.08,25.83,26.08
3496,2019-08-19,26.08,26.69,26.1,26.2
3495,2019-08-16,25.39,26.05,25.79,25.62
3494,2019-08-15,25.14,26.31,25.41,26.2
3493,2019-08-14,26.09,27.07,26.1,27.05
3492,2019-08-13,27.327,28.37,27.51,27.62
3491,2019-08-12,27.52,28.51,27.64,28.5
3490,2019-08-09,28.555,29.065,28.78,28.85
3489,2019-08-08,28.76,29.39,29.08,28.81
3488,2019-08-07,27.82,28.76,28.63,28.0
3487,2019-08-06,28.02,29.06,28.36,28.85
3486,2019-08-05,28.0,28.97,28.53,28.97
3485,2019-08-02,29.07,29.81,29.45,29.7
3484,2019-08-01,29.43,30.57,29.84,30.43
3483,2019-07-31,30.27,31.14,30.51,30.68
3482,2019-07-30,30.21,30.81,30.71,30.45
3481,2019-07-29,30.54,31.19,30.74,30.97
3480,2019-07-26,31.16,32.25,31.24,32.0
3479,2019-07-25,31.58,34.82,31.67,34.55
3478,2019-07-24,33.62,34.99,34.59,33.62
3477,2019-07-23,32.57,33.79,33.73,33.02
3476,2019-07-22,32.85,33.42,32.9,33.2193
3475,2019-07-19,33.06,34.02,33.08,33.82
3474,2019-07-18,33.11,33.82,33.74,33.41
3473,2019-07-17,33.11,34.42,33.26,34.34
3472,2019-07-16,33.7,34.67,34.22,33.6997
3471,2019-07-15,33.42,33.95,33.61,33.67
