,Date,Low,High,Close,Open
5032,2019-10-04,223.89,227.49,227.01,225.64
5031,2019-10-03,215.13,220.96,220.82,218.43
5030,2019-10-02,217.93,223.58,218.96,223.06
5029,2019-10-01,224.2,228.22,224.59,225.07
5028,2019-09-30,220.79,224.58,223.97,220.9
5027,2019-09-27,217.28,220.96,218.82,220.54
5026,2019-09-26,218.83,220.94,219.89,220.0
5025,2019-09-25,217.14,221.5,221.03,218.55
5024,2019-09-24,217.19,222.49,217.68,221.03
5023,2019-09-23,217.65,219.84,218.72,218.95
5022,2019-09-20,217.47,222.56,217.73,221.38
5021,2019-09-19,220.37,223.76,220.96,222.01
5020,2019-09-18,219.44,222.85,222.77,221.06
5019,2019-09-17,219.12,220.82,220.7,219.96
5018,2019-09-16,217.56,220.13,219.9,217.73
5017,2019-09-13,217.02,220.79,218.75,220.0
5016,2019-09-12,222.86,226.42,223.09,224.8
5015,2019-09-11,217.73,223.71,223.59,218.07
5014,2019-09-10,211.71,216.78,216.7,213.86
5013,2019-09-09,211.07,216.44,214.17,214.84
5012,2019-09-06,212.51,214.42,213.26,214.05
5011,2019-09-05,211.51,213.97,213.28,212.0
5010,2019-09-04,207.32,209.48,209.19,208.39
5009,2019-09-03,204.22,206.98,205.7,206.43
5008,2019-08-30,207.2,210.45,208.74,210.16
5007,2019-08-29,206.66,209.32,209.01,208.5
5006,2019-08-28,203.32,205.72,205.53,204.1
5005,2019-08-27,203.53,208.55,204.16,207.86
5004,2019-08-26,205.06,207.19,206.49,205.86
5003,2019-08-23,201.0,212.05,202.64,209.43
5002,2019-08-22,210.75,214.44,212.46,213.19
5001,2019-08-21,211.6,213.65,212.64,212.99
5000,2019-08-20,210.32,213.35,210.36,210.88
4999,2019-08-19,210.03,212.73,210.35,210.62
4998,2019-08-16,203.84,207.16,206.5,204.28
4997,2019-08-15,199.67,205.14,201.74,203.46
4996,2019-08-14,202.59,206.44,202.75,203.16
4995,2019-08-13,200.83,212.14,208.97,201.02
4994,2019-08-12,199.15,202.052,200.48,199.62
4993,2019-08-09,199.29,202.76,200.99,201.3
4992,2019-08-08,199.39,203.53,203.43,200.2
4991,2019-08-07,193.82,199.56,199.04,195.41
4990,2019-08-06,194.04,198.07,197.0,196.31
4989,2019-08-05,192.58,198.65,193.34,197.99
4988,2019-08-02,201.6247,206.43,204.02,205.53
4987,2019-08-01,206.74,218.03,208.43,213.9
4986,2019-07-31,211.3,221.37,213.04,216.42
4985,2019-07-30,207.31,210.16,208.78,208.76
4984,2019-07-29,208.44,210.64,209.68,208.46
4983,2019-07-26,207.14,209.73,207.74,207.48
4982,2019-07-25,206.73,209.24,207.02,208.89
4981,2019-07-24,207.17,209.15,208.67,207.67
4980,2019-07-23,207.29,208.91,208.84,208.46
4979,2019-07-22,203.61,207.23,207.22,203.65
4978,2019-07-19,202.36,206.5,202.59,205.79
4977,2019-07-18,203.7,205.88,205.66,204.0
4976,2019-07-17,203.27,205.09,203.35,204.05
4975,2019-07-16,203.5,206.11,204.5,204.59
4974,2019-07-15,204.0,205.87,205.21,204.09
4973,2019-07-12,202.2,203.9983,203.3,202.45
4972,2019-07-11,201.71,204.39,201.75,203.3137
4971,2019-07-10,201.5679,203.73,203.23,201.85
4970,2019-07-09,198.81,201.51,201.24,199.2
4969,2019-07-08,198.41,201.4,200.02,200.81
4968,2019-07-05,202.8856,205.08,204.23,203.35
4967,2019-07-03,202.69,204.44,204.41,203.28
4966,2019-07-02,201.36,203.132,202.73,201.41
4965,2019-07-01,200.65,204.49,201.55,203.17
4964,2019-06-28,197.05,199.495,197.92,198.68
4963,2019-06-27,199.57,201.57,199.74,200.29
4962,2019-06-26,197.3494,200.99,199.8,197.77
4961,2019-06-25,195.29,199.26,195.57,198.43
4960,2019-06-24,198.17,200.16,198.58,198.54
4959,2019-06-21,198.15,200.85,198.78,198.8
4958,2019-06-20,198.03,200.61,199.46,200.3543
4957,2019-06-19,197.3057,199.88,197.87,199.68
4956,2019-06-18,195.21,200.29,198.45,196.05
4955,2019-06-17,192.17,194.9553,193.89,192.9
4954,2019-06-14,190.3,193.586,192.74,191.5384
4953,2019-06-13,193.6,196.79,194.15,194.7
4952,2019-06-12,193.385,195.97,194.19,193.9491
4951,2019-06-11,193.6,196.0,194.81,194.86
4950,2019-06-10,191.62,195.37,192.58,191.81
4949,2019-06-07,185.77,191.92,190.15,186.51
4948,2019-06-06,182.149,185.47,185.22,183.08
4947,2019-06-05,181.14,184.99,182.54,184.28
4946,2019-06-04,174.52,179.83,179.64,175.44
4945,2019-06-03,170.27,177.92,173.3,175.6
4944,2019-05-31,174.99,177.99,175.07,176.2386
4943,2019-05-30,176.67,179.23,178.3,177.95
4942,2019-05-29,176.0,179.35,177.38,176.42
4941,2019-05-28,177.91,180.5823,178.23,178.92
4940,2019-05-24,178.62,182.14,178.97,180.1912
4939,2019-05-23,177.81,180.54,179.66,179.8
4938,2019-05-22,182.55,185.71,182.78,184.66
4937,2019-05-21,184.7066,188.0,186.6,185.22
4936,2019-05-20,180.284,184.349,183.09,183.52
4935,2019-05-17,186.76,190.9,189.0,186.93
4934,2019-05-16,188.84,192.469,190.08,189.91
4933,2019-05-15,186.02,191.75,190.92,186.27
4932,2019-05-14,185.41,189.7,188.66,186.41
4931,2019-05-13,182.85,189.48,185.72,187.7167
4930,2019-05-10,192.77,198.844,197.18,197.419
4929,2019-05-09,196.66,201.68,200.72,200.3916
4928,2019-05-08,201.75,205.34,202.9,201.8958
4927,2019-05-07,200.825,207.417,202.86,205.88
4926,2019-05-06,203.4871,208.84,208.48,204.29
4925,2019-05-03,210.23,211.84,211.75,210.89
4924,2019-05-02,208.13,212.65,209.15,209.84
4923,2019-05-01,209.23,215.31,210.52,209.88
4922,2019-04-30,199.11,203.4,200.67,203.06
4921,2019-04-29,203.86,205.97,204.61,204.4
4920,2019-04-26,202.12,205.0,204.3,204.9
4919,2019-04-25,205.12,207.782,205.28,206.83
4918,2019-04-24,207.05,208.48,207.16,207.36
4917,2019-04-23,203.9,207.75,207.48,204.43
4916,2019-04-22,202.34,204.9259,204.53,202.83
4915,2019-04-18,202.52,204.15,203.86,203.12
4914,2019-04-17,198.61,203.38,203.13,199.54
4913,2019-04-16,198.56,201.37,199.25,199.4614
4912,2019-04-15,198.01,199.85,199.23,198.58
