,Date,Low,High,Close,Open
5032,2019-10-04,136.42,138.25,138.12,136.75
5031,2019-10-03,133.22,136.75,136.28,134.95
5030,2019-10-02,133.58,136.37,134.65,136.25
5029,2019-10-01,137.0,140.25,137.07,139.66
5028,2019-09-30,137.78,139.22,139.03,138.05
5027,2019-09-27,136.65,140.36,137.73,140.15
5026,2019-09-26,138.44,140.18,139.54,139.44
5025,2019-09-25,136.03,139.96,139.36,137.5
5024,2019-09-24,136.88,140.69,137.38,140.36
5023,2019-09-23,138.44,139.63,139.14,139.23
5022,2019-09-20,138.25,141.65,139.44,141.01
5021,2019-09-19,140.07,142.37,141.07,140.3
5020,2019-09-18,136.53,138.67,138.52,137.36
5019,2019-09-17,136.43,137.52,137.39,136.96
5018,2019-09-16,135.66,136.7,136.33,135.83
5017,2019-09-13,136.57,138.06,137.32,137.78
5016,2019-09-12,136.87,138.42,137.52,137.85
5015,2019-09-11,135.09,136.27,136.12,135.91
5014,2019-09-10,134.51,136.89,136.08,136.8
5013,2019-09-09,136.46,139.75,137.52,139.59
5012,2019-09-06,138.2,140.18,139.1,140.03
5011,2019-09-05,138.76,140.38,140.05,139.11
5010,2019-09-04,136.48,137.69,137.63,137.3
5009,2019-09-03,135.7,137.2,136.04,136.61
5008,2019-08-30,136.27,139.18,137.86,139.15
5007,2019-08-29,136.91,138.44,138.12,137.25
5006,2019-08-28,133.55,135.76,135.56,134.88
5005,2019-08-27,134.66,136.72,135.74,136.39
5004,2019-08-26,133.9,135.56,135.45,134.99
5003,2019-08-23,132.8,138.35,133.39,137.19
5002,2019-08-22,136.29,139.2,137.78,138.66
5001,2019-08-21,138.0,139.49,138.79,138.55
5000,2019-08-20,137.24,138.71,137.26,138.21
4999,2019-08-19,136.89,138.55,138.41,137.85
4998,2019-08-16,134.72,136.46,136.13,134.88
4997,2019-08-15,132.25,134.58,133.68,134.39
4996,2019-08-14,133.67,136.92,133.98,136.36
4995,2019-08-13,135.0,138.8,138.6,136.05
4994,2019-08-12,135.24,137.86,135.79,137.07
4993,2019-08-09,136.46,139.38,137.71,138.61
4992,2019-08-08,135.93,138.99,138.89,136.6
4991,2019-08-07,131.828,135.65,135.28,133.79
4990,2019-08-06,133.21,135.68,134.69,133.8
4989,2019-08-05,130.78,133.93,132.21,133.3
4988,2019-08-02,135.26,138.32,136.9,138.09
4987,2019-08-01,136.93,140.94,138.06,137.0
4986,2019-07-31,135.08,140.49,136.27,140.33
4985,2019-07-30,139.8,141.22,140.35,140.14
4984,2019-07-29,139.37,141.51,141.03,141.5
4983,2019-07-26,140.3,141.68,141.34,140.37
4982,2019-07-25,139.32,140.61,140.19,140.43
4981,2019-07-24,138.85,140.74,140.72,138.8968
4980,2019-07-23,138.03,139.99,139.29,139.76
4979,2019-07-22,137.33,139.19,138.43,137.41
4978,2019-07-19,136.45,140.67,136.62,140.22
4977,2019-07-18,134.67,136.62,136.42,135.55
4976,2019-07-17,136.22,137.93,136.27,137.7
4975,2019-07-16,136.52,139.05,137.08,138.96
4974,2019-07-15,138.46,139.54,138.9,139.44
4973,2019-07-12,138.01,139.13,138.9,138.85
4972,2019-07-11,137.87,139.22,138.4,138.2
4971,2019-07-10,137.02,138.58,137.85,137.13
4970,2019-07-09,135.8,136.97,136.46,136.0
4969,2019-07-08,135.37,137.1,136.96,136.4
4968,2019-07-05,135.72,137.33,137.06,135.94
4967,2019-07-03,136.295,137.74,137.46,136.8
4966,2019-07-02,135.3291,136.59,136.58,136.12
4965,2019-07-01,134.97,136.7,135.68,136.63
4964,2019-06-28,133.156,134.6,133.96,134.57
4963,2019-06-27,133.51,134.71,134.15,134.14
4962,2019-06-26,133.6,135.7327,133.93,134.35
