,Date,Low,High,Close,Open
5032,2019-10-04,67.82,69.07,68.97,68.11
5031,2019-10-03,66.31,68.0,67.98,67.0
5030,2019-10-02,67.01,68.59,67.15,68.27
5029,2019-10-01,68.91,70.91,68.95,70.83
5028,2019-09-30,70.58,71.45,70.61,71.24
5027,2019-09-27,70.63,71.67,71.48,70.7
5026,2019-09-26,70.68,71.35,70.97,71.22
5025,2019-09-25,70.82,71.47,71.35,70.98
5024,2019-09-24,70.82,71.87,71.14,71.81
5023,2019-09-23,71.46,72.36,72.13,71.52
5022,2019-09-20,71.86,72.5,72.08,72.49
5021,2019-09-19,72.19,73.19,72.33,72.97
5020,2019-09-18,72.33,72.97,72.82,72.65
5019,2019-09-17,72.63,74.08,73.17,73.82
5018,2019-09-16,73.6,75.18,73.73,75.04
5017,2019-09-13,72.06,72.72,72.64,72.26
5016,2019-09-12,70.7,72.16,71.98,70.98
5015,2019-09-11,71.55,72.84,71.93,72.78
5014,2019-09-10,71.62,72.85,72.07,72.14
5013,2019-09-09,70.98,72.07,71.49,71.16
5012,2019-09-06,70.12,70.95,70.93,70.35
5011,2019-09-05,69.7,70.55,70.27,69.84
5010,2019-09-04,69.09,69.61,69.29,69.5
5009,2019-09-03,67.63,68.68,68.56,67.89
5008,2019-08-30,68.06,69.08,68.48,68.61
5007,2019-08-29,68.09,68.67,68.43,68.3
5006,2019-08-28,67.16,67.98,67.68,67.53
5005,2019-08-27,66.97,68.44,67.19,68.13
5004,2019-08-26,67.53,68.26,67.85,68.12
5003,2019-08-23,67.03,69.53,67.49,68.82
5002,2019-08-22,69.25,69.96,69.57,69.91
5001,2019-08-21,69.37,69.98,69.72,69.96
5000,2019-08-20,68.71,69.3,69.03,69.3
4999,2019-08-19,68.86,69.65,69.45,68.97
4998,2019-08-16,66.53,68.46,68.3,67.78
4997,2019-08-15,66.53,67.5599,67.25,67.46
4996,2019-08-14,67.65,69.09,67.65,69.07
4995,2019-08-13,68.9243,70.62,70.49,69.27
4994,2019-08-12,69.33,70.16,69.63,70.06
4993,2019-08-09,70.47,72.25,70.84,72.13
4992,2019-08-08,70.628,72.41,72.38,70.85
4991,2019-08-07,69.4,70.875,70.5,69.86
4990,2019-08-06,70.28,71.01,70.96,70.29
4989,2019-08-05,69.61,70.92,70.28,70.78
4988,2019-08-02,71.18,73.26,71.75,72.61
4987,2019-08-01,72.27,74.27,72.46,73.74
4986,2019-07-31,74.26,75.66,74.36,75.04
4985,2019-07-30,74.89,75.56,75.35,75.06
4984,2019-07-29,74.7,75.38,75.34,74.88
4983,2019-07-26,74.6,75.08,74.81,74.87
4982,2019-07-25,74.8,75.78,74.93,75.78
4981,2019-07-24,74.85,76.05,75.36,75.39
4980,2019-07-23,74.75,75.77,75.37,75.15
4979,2019-07-22,74.4975,75.3,75.07,75.24
4978,2019-07-19,74.54,75.25,74.99,74.9
4977,2019-07-18,74.18,75.2684,74.84,75.03
4976,2019-07-17,75.35,75.9666,75.48,75.74
4975,2019-07-16,75.79,77.07,75.93,76.92
4974,2019-07-15,76.8934,77.74,77.08,77.63
4973,2019-07-12,77.5,77.88,77.63,77.75
4972,2019-07-11,77.05,77.61,77.57,77.414
4971,2019-07-10,76.74,77.63,77.51,76.799
4970,2019-07-09,75.73,76.77,76.43,76.45
4969,2019-07-08,75.92,76.7,76.48,76.14
4968,2019-07-05,75.59,76.35,76.13,76.19
4967,2019-07-03,75.625,76.5,76.44,75.82
4966,2019-07-02,75.41,76.27,75.72,76.14
4965,2019-07-01,76.29,77.925,76.56,77.13
4964,2019-06-28,75.941,76.73,76.63,76.19
4963,2019-06-27,75.76,76.7485,75.82,76.59
4962,2019-06-26,76.47,77.13,76.6,76.68
4961,2019-06-25,76.19,77.22,76.27,77.08
4960,2019-06-24,76.81,77.76,76.95,77.53
4959,2019-06-21,76.87,77.76,77.69,77.14
4958,2019-06-20,76.08,76.975,76.61,76.24
4957,2019-06-19,75.174,75.853,75.32,75.4
4956,2019-06-18,75.35,76.22,75.74,75.42
4955,2019-06-17,74.04,75.19,75.09,74.16
4954,2019-06-14,74.23,74.81,74.35,74.68
4953,2019-06-13,74.38,75.1755,74.68,74.7
4952,2019-06-12,73.81,74.61,74.03,74.48
4951,2019-06-11,74.82,75.81,74.84,75.51
4950,2019-06-10,74.45,75.33,74.91,75.19
4949,2019-06-07,74.43,74.963,74.58,74.51
4948,2019-06-06,73.59,74.615,74.31,73.71
4947,2019-06-05,72.585,73.64,72.98,73.64
4946,2019-06-04,72.17,73.66,73.59,72.45
4945,2019-06-03,70.966,72.01,71.88,71.09
4944,2019-05-31,70.63,71.55,70.77,71.19
4943,2019-05-30,71.53,72.13,71.97,72.02
4942,2019-05-29,71.62,72.43,72.16,71.8887
4941,2019-05-28,72.485,74.25,72.61,74.24
4940,2019-05-24,73.44,74.25,74.1,74.14
4939,2019-05-23,73.04,74.8,73.79,74.77
4938,2019-05-22,75.385,76.22,75.56,76.02
4937,2019-05-21,75.93,76.46,76.25,76.27
4936,2019-05-20,75.67,76.36,75.9,76.05
4935,2019-05-17,75.59,76.3,75.91,75.65
4934,2019-05-16,76.22,76.95,76.36,76.4
4933,2019-05-15,75.21,76.55,76.37,75.57
4932,2019-05-14,75.76,76.8,75.81,76.13
4931,2019-05-13,75.36,76.23,75.71,75.65
4930,2019-05-10,75.17,76.79,76.56,76.18
4929,2019-05-09,75.96,76.88,76.77,76.35
4928,2019-05-08,76.42,77.29,76.84,76.54
4927,2019-05-07,75.767,76.79,76.72,76.5
4926,2019-05-06,76.71,77.66,77.13,76.92
4925,2019-05-03,77.44,78.2066,77.47,77.79
4924,2019-05-02,77.24,78.5,77.29,78.28
4923,2019-05-01,78.618,80.26,78.67,79.94
4922,2019-04-30,79.93,80.525,80.28,80.37
4921,2019-04-29,79.66,80.38,79.97,80.12
4920,2019-04-26,79.56,80.63,80.49,80.27
4919,2019-04-25,81.3934,82.84,82.22,81.65
4918,2019-04-24,81.73,83.08,81.76,83.01
4917,2019-04-23,82.68,83.49,83.38,83.19
4916,2019-04-22,81.64,83.22,82.9,81.87
4915,2019-04-18,81.07,81.83,81.13,81.56
4914,2019-04-17,81.08,81.7,81.43,81.55
4913,2019-04-16,80.69,81.345,81.2,80.81
4912,2019-04-15,80.5213,81.06,80.65,80.89
4911,2019-04-12,80.575,82.81,80.92,82.81
4910,2019-04-11,81.02,82.07,81.95,81.54
4909,2019-04-10,81.41,82.08,81.56,81.92
4908,2019-04-09,81.74,82.58,81.93,82.52
4907,2019-04-08,82.59,83.2,83.0,82.67
4906,2019-04-05,81.952,82.53,82.49,82.15
4905,2019-04-04,80.77,82.076,82.05,81.12
4904,2019-04-03,80.605,81.77,80.9,81.77
4903,2019-04-02,81.11,81.9537,81.38,81.75
4902,2019-04-01,81.08,81.78,81.73,81.2353
4901,2019-03-29,80.48,81.48,80.8,81.33
4900,2019-03-28,80.02,80.79,80.74,80.03
4899,2019-03-27,79.82,81.31,80.34,80.97
4898,2019-03-26,80.18,81.27,80.96,80.33
4897,2019-03-25,79.59,80.44,79.92,80.0
4896,2019-03-22,80.3,81.44,80.48,81.23
4895,2019-03-21,80.8,81.89,81.79,80.811
4894,2019-03-20,80.56,81.92,81.32,80.75
4893,2019-03-19,80.64,82.0,80.87,81.58
4892,2019-03-18,80.44,81.25,81.08,80.44
4891,2019-03-15,80.1,80.552,80.15,80.18
4890,2019-03-14,80.35,80.91,80.44,80.8
4889,2019-03-13,80.2,80.76,80.71,80.59
4888,2019-03-12,79.8978,80.58,80.0,80.11
4887,2019-03-11,79.65,80.2945,79.78,79.98
4886,2019-03-08,78.25,79.32,79.01,78.89
4885,2019-03-07,79.32,80.26,80.16,79.55
4884,2019-03-06,77.86,79.38,79.28,78.85
4883,2019-03-05,79.751,80.4,80.19,80.12
4882,2019-03-04,79.012,80.545,80.31,80.24
4881,2019-03-01,79.03,80.0,80.0,79.38
4880,2019-02-28,78.71,79.75,79.03,79.45
4879,2019-02-27,78.6585,79.754,79.47,78.88
4878,2019-02-26,78.39,79.13,78.66,78.68
4877,2019-02-25,78.2,78.8547,78.5,78.43
4876,2019-02-22,77.62,78.95,78.42,78.71
4875,2019-02-21,77.61,78.66,77.82,78.21
4874,2019-02-20,78.0,78.81,78.53,78.304
4873,2019-02-19,77.45,78.48,78.23,77.56
4872,2019-02-15,76.75,77.76,77.71,76.94
4871,2019-02-14,75.71,76.65,76.27,76.26
4870,2019-02-13,75.51,76.54,76.25,75.58
4869,2019-02-12,74.82,75.45,75.4,75.08
4868,2019-02-11,73.4,74.22,74.1,73.88
4867,2019-02-08,72.73,74.07,73.98,73.76
4866,2019-02-07,73.9,75.19,74.68,74.95
4865,2019-02-06,75.13,75.77,75.26,75.58
4864,2019-02-05,75.0033,75.64,75.59,75.18
4863,2019-02-04,74.4,75.7566,74.82,75.76
4862,2019-02-01,74.32,76.49,75.92,74.92
4861,2019-01-31,72.02,73.49,73.28,72.29
4860,2019-01-30,71.505,72.57,72.29,71.77
4859,2019-01-29,71.48,72.19,71.51,71.7
4858,2019-01-28,70.37,71.28,71.24,71.02
4857,2019-01-25,71.535,72.27,71.72,72.07
4856,2019-01-24,70.639,71.97,71.4,71.1
4855,2019-01-23,70.93,72.3032,71.3,72.01
4854,2019-01-22,71.68,72.71,71.89,72.39
4853,2019-01-18,72.125,73.29,72.99,73.27
4852,2019-01-17,70.899,72.34,72.13,71.19
4851,2019-01-16,71.31,72.375,71.64,71.42
4850,2019-01-15,71.32,72.36,71.67,71.95
4849,2019-01-14,71.12,71.7856,71.63,71.21
4848,2019-01-11,71.07,71.89,71.72,71.85
4847,2019-01-10,71.12,72.08,72.05,72.07
4846,2019-01-09,71.645,72.6,72.42,72.6
4845,2019-01-08,71.94,72.59,72.04,72.54
4844,2019-01-07,70.74,72.1,71.52,71.25
4843,2019-01-04,69.36,71.27,71.15,69.64
4842,2019-01-03,68.355,70.25,68.62,70.0
4841,2019-01-02,67.255,69.87,69.69,67.3455
4840,2018-12-31,67.6566,69.145,68.19,68.32
4839,2018-12-28,67.82,69.58,68.17,69.18
4838,2018-12-27,66.08,68.94,68.94,67.74
4837,2018-12-26,64.65,68.655,68.64,66.18
