Symbol,Date,Open,High,Low,Close,Volume
A,23-Aug-2019,71.5,71.67,69.25,69.55,2990000
AA,23-Aug-2019,17.83,18,17.31,17.48,3236600
AAC,23-Aug-2019,0.599,0.62,0.563,0.59,182900
AAN,23-Aug-2019,63.95,64.73,61.89,62.14,431800
AAP,23-Aug-2019,136.57,138.19,134.45,135.05,1087900
AAT,23-Aug-2019,47.19,47.48,46.24,46.37,218700
AB,23-Aug-2019,28.33,28.83,27.63,27.71,234100
ABB,23-Aug-2019,18.6,18.745,18.37,18.42,1587800
ABBV,23-Aug-2019,67.28,67.79,65.48,65.97,8905100
ABC,23-Aug-2019,85.46,86.4,83.095,83.54,1177800
ABEV,23-Aug-2019,4.56,4.58,4.38,4.42,40149200
ABG,23-Aug-2019,90.73,91.82,88.35,88.74,103300
ABM,23-Aug-2019,38.22,38.47,36.72,36.84,282000
ABR,23-Aug-2019,12.58,12.62,12.455,12.48,754200
ABR-A,23-Aug-2019,25.9,25.975,25.9,25.9354,2700
ABR-B,23-Aug-2019,25.7103,25.713,25.7103,25.713,3300
ABR-C,23-Aug-2019,26.3,26.3087,26.25,26.2885,500
ABT,23-Aug-2019,83.84,84.25,81.36,81.93,6228400
AC,23-Aug-2019,33.71,34.52,33.71,34.47,6300
ACA,23-Aug-2019,33.19,33.36,31.52,31.82,301500
ACB,23-Aug-2019,5.73,5.87,5.64,5.64,9228700
ACC,23-Aug-2019,47.33,47.65,46.43,46.56,403800
ACCO,23-Aug-2019,9.76,9.91,9.53,9.53,733200
ACH,23-Aug-2019,7.36,7.5,7.3,7.3,64300
ACM,23-Aug-2019,33.4,34.04,33.19,33.4,1208300
ACN,23-Aug-2019,195,197.925,191.57,192.81,2290300
ACP,23-Aug-2019,12.16,12.3,12.1195,12.25,81500
ACRE,23-Aug-2019,15.27,15.32,15.11,15.13,130500
ACV,23-Aug-2019,24.26,24.42,24.01,24.05,31300
ADC,23-Aug-2019,71.74,72.93,71.63,72.4,395600
ADM,23-Aug-2019,37.53,37.81,37.22,37.43,7189200
ADNT,23-Aug-2019,22.2,22.7,20.6437,20.92,1487100
ADS,23-Aug-2019,134.69,136.41,129.94,130.58,1982400
ADSW,23-Aug-2019,32.46,32.47,32.45,32.46,961600
ADT,23-Aug-2019,4.72,4.79,4.57,4.6,1044100
ADX,23-Aug-2019,15.34,15.4347,15.056,15.09,218200
AEB,23-Aug-2019,24.04,24.06,23.84,23.84,20900
AEE,23-Aug-2019,77.05,77.3,75.06,75.33,1704200
AEG,23-Aug-2019,3.82,3.86,3.75,3.75,1812500
AEH,23-Aug-2019,26.36,26.415,26.35,26.38,21800
AEL,23-Aug-2019,22.06,22.17,21.01,21.14,537300
AEM,23-Aug-2019,59.58,61.82,59.4001,61.58,1788700
AEO,23-Aug-2019,16.51,16.75,16.03,16.09,3696800
AEP,23-Aug-2019,91.21,91.43,89.05,89.58,2253100
AEP-B,23-Aug-2019,56.01,56.01,55.62,55.8,6400
AER,23-Aug-2019,51.95,52.42,50.83,50.98,771600
AES,23-Aug-2019,15.2,15.25,14.72,14.79,3941300
AFB,23-Aug-2019,13.9,13.93,13.87,13.91,36500
AFC,23-Aug-2019,26.69,26.75,26.63,26.65,6400
AFG,23-Aug-2019,101.12,102.11,99.48,99.93,357700
AFGB,23-Aug-2019,27.12,27.24,27.12,27.24,50900
AFGE,23-Aug-2019,25.8,25.9,25.7364,25.83,11400
AFGH,23-Aug-2019,26.17,26.22,26.05,26.13,8600
AFI,23-Aug-2019,6.94,6.95,6.59,6.63,190200
AFL,23-Aug-2019,49.35,49.588,48.14,48.36,4366800
AFT,23-Aug-2019,14.62,14.67,14.54,14.57,27400
AG,23-Aug-2019,10.41,11.06,10.38,11.01,5226600
AGCO,23-Aug-2019,67.36,67.92,65.65,65.87,562400
AGD,23-Aug-2019,9.34,9.4,9.18,9.21,44700
AGI,23-Aug-2019,7.03,7.36,7.01,7.31,3869800
AGM,23-Aug-2019,82.12,82.81,79.33,79.8,50300
AGM-A,23-Aug-2019,26.01,26.2239,26.0057,26.2239,700
AGM-D,23-Aug-2019,26.5,26.7,26.47,26.7,10800
AGN,23-Aug-2019,160.6,161.15,158.31,158.96,3128600
AGO,23-Aug-2019,43.43,43.87,42.44,42.57,566100
AGO-B,23-Aug-2019,27.7,27.77,27.7,27.77,4100
AGO-E,23-Aug-2019,27.5,27.5,27.24,27.44,5100
AGO-F,23-Aug-2019,25.9311,26.1302,25.8493,25.93,6900
AGR,23-Aug-2019,49.67,49.87,48.805,48.92,280900
AGRO,23-Aug-2019,5.81,5.86,5.61,5.72,311800
AGS,23-Aug-2019,9.93,9.96,9.34,9.38,402800
AGX,23-Aug-2019,39.14,39.35,38.31,38.6,90800
AHC,23-Aug-2019,3.45,3.46,3.41,3.43,5000
AHH,23-Aug-2019,17.39,17.525,17.1,17.11,223800
AHH-A,23-Aug-2019,26.8134,26.9,26.6663,26.6668,13300
AHL-C,23-Aug-2019,27.49,27.49,27.17,27.17,13000
AHL-D,23-Aug-2019,25.79,25.805,25.7,25.71,18000
AHT,23-Aug-2019,2.76,2.76,2.55,2.56,1163600
AHT-D,23-Aug-2019,24.83,24.98,24.8,24.8,3100
AHT-F,23-Aug-2019,22.16,22.16,21.68,21.8,20800
AHT-G,23-Aug-2019,21.35,21.66,21.1113,21.13,18700
AHT-H,23-Aug-2019,21.5,21.51,21.5,21.51,400
AHT-I,23-Aug-2019,21.75,21.75,21.4,21.41,11300
AI,23-Aug-2019,5.26,5.31,5.17,5.2,610900
AI-C,23-Aug-2019,21.9626,22.53,21.9626,22.53,4200
AIC,23-Aug-2019,24.34,24.4814,24.34,24.42,1400
AIF,23-Aug-2019,14.79,14.82,14.76,14.8,31200
AIG,23-Aug-2019,53.51,54.325,52.15,52.49,3712100
AIG-A,23-Aug-2019,27.77,27.77,27.6,27.74,42500
AIG.W,23-Aug-2019,12.3,13,11.45,11.56,149500
AIN,23-Aug-2019,81.19,82.32,78.45,78.74,214500
AIR,23-Aug-2019,41.95,42.55,40.69,41,163800
AIT,23-Aug-2019,53.01,53.1,51.27,51.36,191500
AIV,23-Aug-2019,50.76,51.07,50.24,50.36,1418700
AIW,23-Aug-2019,24.48,24.48,24.3736,24.3736,1800
AIZ,23-Aug-2019,122.76,123.37,118.88,119.43,584800
AIZP,23-Aug-2019,122.87,122.87,120.73,120.93,2000
AJG,23-Aug-2019,90.59,91.45,87.63,88.01,1101200
AJRD,23-Aug-2019,51.41,52.1,49.62,49.85,521200
AJX,23-Aug-2019,14.54,14.54,14.26,14.32,54200
AJXA,23-Aug-2019,26.15,26.2,26.13,26.16,900
AKO.A,23-Aug-2019,16.46,16.46,16.46,16.46,100
AKO.B,23-Aug-2019,18.56,18.56,17.9,17.9,1600
AKR,23-Aug-2019,27.7,27.91,27.13,27.21,306700
AKS,23-Aug-2019,2.28,2.3,2.16,2.17,7694300
AL,23-Aug-2019,39.33,39.75,38.69,39,993200
AL-A,23-Aug-2019,27.14,27.28,27.1,27.28,6200
ALB,23-Aug-2019,62.57,62.69,59.71,59.95,1789200
ALC,23-Aug-2019,59.39,59.39,58.09,58.62,1332700
ALE,23-Aug-2019,85.73,86.12,83.86,84.03,199800
ALEX,23-Aug-2019,23.14,23.27,22.76,22.86,275000
ALG,23-Aug-2019,115.11,115.11,111.24,111.6,54900
ALK,23-Aug-2019,59.56,59.9,57.57,57.93,1180800
ALL,23-Aug-2019,104.02,105.36,101.49,101.98,1418400
ALL-A,23-Aug-2019,25.68,25.7,25.64,25.64,8000
ALL-B,23-Aug-2019,27.11,27.11,26.82,26.9,33500
ALL-D,23-Aug-2019,26.44,26.57,26.35,26.57,4700
ALL-E,23-Aug-2019,25.5,25.53,25.4,25.47,62100
ALL-F,23-Aug-2019,25.78,25.812,25.65,25.65,11100
ALL-G,23-Aug-2019,27.58,27.58,27.431,27.48,20800
ALL-H,23-Aug-2019,25.95,25.98,25.84,25.89,621000
ALL-Y,23-Aug-2019,26.29,26.3465,26.22,26.25,136700
ALLE,23-Aug-2019,95.21,95.81,93.03,93.42,586500
ALLY,23-Aug-2019,31.05,31.26,30,30.1,3054700
ALP-Q,23-Aug-2019,26.71,26.94,26.71,26.75,10500
ALSN,23-Aug-2019,43.59,43.99,42.82,42.94,889000
ALV,23-Aug-2019,64.94,65.62,63.25,63.47,346100
ALX,23-Aug-2019,363.31,368.81,360.22,360.22,66400
AM,23-Aug-2019,7.62,7.65,7.09,7.2,3200800
AMC,23-Aug-2019,11.42,11.47,10.87,11.01,3099300
AMCR,23-Aug-2019,9.55,9.72,9.39,9.44,8490200
AME,23-Aug-2019,85.29,85.68,83.23,83.62,1262200
AMG,23-Aug-2019,75.73,76.23,73.9,74.64,518900
AMH,23-Aug-2019,25.69,25.78,25.21,25.25,2198100
AMH-D,23-Aug-2019,27.4,27.5,27.13,27.37,8000
AMH-E,23-Aug-2019,27.01,27.265,27,27,6700
AMH-F,23-Aug-2019,26.92,27.44,26.92,27.19,38300
AMH-G,23-Aug-2019,27.15,27.16,27.15,27.16,400
AMH-H,23-Aug-2019,27.88,27.9,27.6,27.72,9200
AMK,23-Aug-2019,26.87,26.9,26.1,26.55,64900
AMN,23-Aug-2019,56.06,57.3,55.6,55.73,274900
AMOV,23-Aug-2019,13.09,13.4,13.09,13.13,6500
AMP,23-Aug-2019,127.42,129.17,123.82,124.49,1136100
AMPY,23-Aug-2019,5.85,5.9899,5.67,5.75,330600
AMRC,23-Aug-2019,14.58,14.71,14.22,14.27,89500
AMRX,23-Aug-2019,2.65,2.72,2.51,2.52,1265100
AMT,23-Aug-2019,228.94,231.64,225.57,226.57,1497900
AMX,23-Aug-2019,13.31,13.48,13.17,13.17,1834500
AN,23-Aug-2019,47.11,47.5,46.23,46.38,609300
ANET,23-Aug-2019,226.26,229.3838,222.56,223.4,781500
ANF,23-Aug-2019,16.71,16.93,16.18,16.43,2937500
ANFI,23-Aug-2019,0.5974,0.6098,0.553,0.5786,162400
ANH,23-Aug-2019,3.34,3.35,3.24,3.29,1562500
ANH-A,23-Aug-2019,26.0419,26.1103,26.0419,26.1103,2200
ANH-B,23-Aug-2019,20.84,21.48,20.61,21.2,53700
ANH-C,23-Aug-2019,25.4597,25.4597,25.4597,25.4597,300
ANTM,23-Aug-2019,261.35,264.24,259.29,260.38,1375000
AOD,23-Aug-2019,8.1,8.13,8,8,182200
AON,23-Aug-2019,193.4,194.63,188.18,189.12,786100
AOS,23-Aug-2019,46.26,46.26,44.79,45.01,1543100
AP,23-Aug-2019,3.76,3.8,3.6984,3.8,3600
APA,23-Aug-2019,20.93,21.52,20.59,20.69,7435000
APAM,23-Aug-2019,26.91,26.99,25.94,26.05,202600
APD,23-Aug-2019,225.45,225.83,219.42,220.64,946700
APH,23-Aug-2019,87.41,88.74,85.09,85.4,1385800
APHA,23-Aug-2019,6.44,6.8,6.42,6.56,5439800
APLE,23-Aug-2019,15.76,15.875,15.5,15.5,1050800
APO,23-Aug-2019,36.46,36.71,35.58,35.75,2085100
APO-A,23-Aug-2019,26.72,26.825,26.68,26.7,15900
APO-B,23-Aug-2019,26.8528,26.9136,26.75,26.75,6800
APRN,23-Aug-2019,7.15,7.28,7.08,7.28,153300
APTS,23-Aug-2019,14.07,14.28,13.475,13.58,695300
APTV,23-Aug-2019,82.51,83.01,79.45,79.88,1263200
APY,23-Aug-2019,26.07,26.49,24.67,24.77,478600
AQ,23-Aug-2019,13.16,13.18,13.16,13.17,198200
AQN,23-Aug-2019,12.89,12.95,12.8,12.81,206500
AQNA,23-Aug-2019,27.47,27.57,27.45,27.5,86000
AQNB,23-Aug-2019,27.04,27.17,27,27.11,15700
AQUA,23-Aug-2019,15,15.05,14.48,14.58,502300
AR,23-Aug-2019,3.3,3.47,3.22,3.26,11290100
ARA,23-Aug-2019,6.53,6.59,6.1,6.21,159300
ARC,23-Aug-2019,1.37,1.38,1.34,1.35,50500
