,Date,Low,High,Close,Open
5032,2019-10-04,66.15,66.95,66.82,66.32
5031,2019-10-03,65.52,66.87,66.14,66.36
5030,2019-10-02,65.72,67.19,66.54,67.16
5029,2019-10-01,67.17,69.04,67.46,68.37
5028,2019-09-30,68.02,68.83,68.17,68.37
5027,2019-09-27,67.77,69.03,68.37,68.52
5026,2019-09-26,67.49,68.97,68.36,68.46
5025,2019-09-25,67.74,68.49,68.23,67.95
5024,2019-09-24,67.82,69.0,68.33,68.75
5023,2019-09-23,67.71,68.77,68.58,68.21
5022,2019-09-20,67.41,68.63,68.44,67.45
5021,2019-09-19,67.48,68.51,67.68,67.68
5020,2019-09-18,66.91,68.48,67.57,68.19
5019,2019-09-17,67.66,68.32,68.14,67.72
5018,2019-09-16,67.25,68.12,67.76,67.45
5017,2019-09-13,67.64,68.75,67.85,68.25
5016,2019-09-12,67.96,69.2,68.01,68.55
5015,2019-09-11,66.67,68.39,68.33,67.19
5014,2019-09-10,65.86,67.36,67.35,66.23
5013,2019-09-09,66.05,67.75,66.5,67.59
5012,2019-09-06,67.22,67.96,67.36,67.91
5011,2019-09-05,67.38,68.21,67.85,67.92
5010,2019-09-04,66.71,68.26,67.28,67.95
5009,2019-09-03,66.84,68.76,67.39,68.3
5008,2019-08-30,68.43,69.86,68.91,69.55
5007,2019-08-29,68.64,69.4,69.0,69.08
5006,2019-08-28,67.9,69.08,68.58,67.91
5005,2019-08-27,67.96,69.3,68.19,68.86
5004,2019-08-26,67.98,68.86,68.52,68.24
5003,2019-08-23,67.57,71.48,67.93,71.25
5002,2019-08-22,71.37,72.86,71.68,72.84
5001,2019-08-21,71.61,72.08,71.78,71.97
5000,2019-08-20,71.3,71.98,71.38,71.9
4999,2019-08-19,70.92,72.22,71.83,71.28
4998,2019-08-16,69.53,70.97,70.65,69.94
4997,2019-08-15,69.22,69.97,69.25,69.45
4996,2019-08-14,69.31,70.46,69.42,70.18
4995,2019-08-13,70.02,71.74,70.88,70.33
4994,2019-08-12,70.09,71.48,70.24,71.23
4993,2019-08-09,70.88,71.785,71.41,71.48
4992,2019-08-08,70.08,71.63,71.49,70.22
4991,2019-08-07,69.1,70.35,70.09,69.8795
4990,2019-08-06,69.36,70.64,70.5,69.81
4989,2019-08-05,69.47,70.9133,69.67,70.2
4988,2019-08-02,70.5964,72.0,70.97,71.99
4987,2019-08-01,71.57,72.78,71.93,71.75
4986,2019-07-31,71.03,73.7766,71.65,73.41
4985,2019-07-30,73.2,73.98,73.59,73.4
4984,2019-07-29,72.53,73.82,73.67,73.0
4983,2019-07-26,71.96,73.5042,73.11,72.78
4982,2019-07-25,70.52,73.33,72.92,71.49
4981,2019-07-24,71.15,72.4,72.21,71.62
4980,2019-07-23,71.06,72.12,72.08,71.98
4979,2019-07-22,71.91,73.07,72.0,72.96
4978,2019-07-19,72.64,74.47,72.83,74.47
4977,2019-07-18,73.78,74.58,74.0,74.51
4976,2019-07-17,74.07,74.7875,74.43,74.39
4975,2019-07-16,74.14,76.14,74.48,76.03
4974,2019-07-15,75.72,76.27,75.83,76.19
4973,2019-07-12,75.51,76.47,76.12,76.31
4972,2019-07-11,75.48,76.2,76.15,75.85
4971,2019-07-10,75.0,75.73,75.68,75.1371
4970,2019-07-09,74.2,75.03,74.99,74.32
4969,2019-07-08,73.85,74.7304,74.56,74.24
4968,2019-07-05,73.54,74.5,74.5,74.21
4967,2019-07-03,74.12,76.0,74.53,75.0
4966,2019-07-02,74.15,75.075,74.95,74.52
4965,2019-07-01,73.5,74.42,74.27,73.61
4964,2019-06-28,71.8382,73.355,73.3,71.85
4963,2019-06-27,70.81,72.01,71.79,71.08
4962,2019-06-26,70.67,71.78,71.04,71.35
4961,2019-06-25,71.0,72.95,71.25,72.84
4960,2019-06-24,71.565,72.7,72.65,72.11
4959,2019-06-21,71.435,72.4,72.09,71.9
