,Date,Low,High,Close,Open
4733,2019-10-04,83.43,85.02,84.97,83.43
4732,2019-10-03,82.36,83.63,83.62,83.02
4731,2019-10-02,82.27,84.2,82.9,84.09
4730,2019-10-01,84.04,85.32,84.49,85.19
4729,2019-09-30,84.33,85.09,84.69,84.77
4728,2019-09-27,84.44,85.5,84.81,84.83
4727,2019-09-26,83.68,84.64,84.36,84.25
4726,2019-09-25,82.59,84.38,84.21,83.67
4725,2019-09-24,83.57,85.0,83.8,84.59
4724,2019-09-23,84.38,85.27,84.48,85.0
4723,2019-09-20,84.6,85.91,85.03,85.78
4722,2019-09-19,85.43,86.29,85.49,86.0
4721,2019-09-18,84.86,85.97,85.93,84.86
4720,2019-09-17,84.58,85.52,85.21,85.06
4719,2019-09-16,84.62,85.72,85.07,85.35
4718,2019-09-13,84.8,85.75,85.34,85.29
4717,2019-09-12,84.51,86.25,85.52,84.8
4716,2019-09-11,83.54,84.46,84.16,83.82
4715,2019-09-10,83.65,85.31,83.91,85.31
4714,2019-09-09,83.76,85.97,85.14,83.99
4713,2019-09-06,82.82,83.97,83.46,83.11
4712,2019-09-05,82.37,83.88,83.05,83.71
4711,2019-09-04,81.2,82.72,82.55,81.29
4710,2019-09-03,80.58,81.46,81.21,81.14
4709,2019-08-30,80.94,81.86,81.57,81.45
4708,2019-08-29,80.5,81.27,80.92,81.02
4707,2019-08-28,79.08,80.38,80.35,79.71
4706,2019-08-27,79.24,80.04,79.81,79.24
4705,2019-08-26,78.43,79.61,78.96,78.91
4704,2019-08-23,78.19,80.33,78.36,79.96
4703,2019-08-22,80.05,80.92,80.28,80.41
4702,2019-08-21,79.28,80.28,80.12,79.3
4701,2019-08-20,77.83,78.83,78.7,78.49
4700,2019-08-19,77.67,78.84,78.19,78.02
4699,2019-08-16,76.68,77.99,77.17,77.14
4698,2019-08-15,76.06,77.0,76.78,76.62
4697,2019-08-14,76.47,78.53,76.51,78.48
4696,2019-08-13,77.8,79.64,79.09,77.8
4695,2019-08-12,77.34,78.79,77.8,78.58
4694,2019-08-09,78.13,79.43,79.04,78.57
4693,2019-08-08,77.27,78.72,78.65,77.443
4692,2019-08-07,75.22,77.43,77.26,76.03
4691,2019-08-06,75.39,76.71,76.65,75.58
4690,2019-08-05,74.29,75.57,75.35,75.0
4689,2019-08-02,75.08,77.51,75.69,76.87
4688,2019-08-01,76.19,78.82,76.74,78.32
4687,2019-07-31,77.52,83.95,78.59,83.25
4686,2019-07-30,76.401,78.58,76.6,78.24
4685,2019-07-29,78.1,78.95,78.62,78.16
4684,2019-07-26,78.25,79.16,78.29,78.51
4683,2019-07-25,78.43,79.78,78.54,79.38
4682,2019-07-24,79.06,80.21,79.49,80.1
4681,2019-07-23,79.83,81.1535,80.37,81.0
4680,2019-07-22,80.28,81.28,80.82,81.07
4679,2019-07-19,80.76,81.7313,81.08,81.55
4678,2019-07-18,80.0,82.4999,82.0,80.97
4677,2019-07-17,80.98,81.82,81.12,81.1175
4676,2019-07-16,79.46,81.32,81.06,79.65
4675,2019-07-15,79.21,80.0,79.83,79.65
4674,2019-07-12,79.24,79.97,79.79,79.38
4673,2019-07-11,78.57,79.18,78.99,78.94
4672,2019-07-10,78.39,79.54,78.74,79.3
4671,2019-07-09,77.5,79.57,79.14,79.0
4670,2019-07-08,78.92,79.89,79.45,79.4
4669,2019-07-05,78.5102,80.48,79.75,80.18
4668,2019-07-03,79.8,80.56,80.56,80.0
4667,2019-07-02,79.5,80.12,80.03,79.54
4666,2019-07-01,78.92,80.83,79.89,80.4068
4665,2019-06-28,79.47,80.12,79.8,80.08
4664,2019-06-27,80.0,80.77,80.27,80.5
4663,2019-06-26,80.21,80.95,80.23,80.28
4662,2019-06-25,80.02,81.54,80.19,81.48
4661,2019-06-24,81.16,81.7284,81.32,81.42
4660,2019-06-21,81.01,81.96,81.21,81.67
4659,2019-06-20,81.0422,82.74,81.74,82.01
4658,2019-06-19,80.57,81.73,81.62,80.9
4657,2019-06-18,80.43,81.34,80.85,80.69
